chr     pos     strand
NC_045757.1     65990   +
NC_045757.1     65997   +
NC_045757.1     66098   +
NC_045757.1     66191   +
NC_045757.1     66202   +
NC_045757.1     66221   +
NC_045757.1     66233   +
NC_045757.1     66241   +
NC_045757.1     66281   +
NC_045757.1     66294   +
NC_045757.1     66315   +
NC_045757.1     66356   +
NC_045757.1     66365   +
NC_045757.1     66389   +
NC_045757.1     66549   +
NC_045757.1     66554   +
NC_045757.1     66625   +
NC_045757.1     66629   +
NC_045757.1     66719   +
NC_045757.1     66761   +
NC_045757.1     66782   +
NC_045757.1     66791   +
NC_045757.1     66797   +
NC_045757.1     66863   +
NC_045757.1     66869   +
NC_045757.1     66943   +
NC_045757.1     66997   +
NC_045757.1     67041   +
NC_045757.1     67094   +
NC_045757.1     67116   +
NC_045757.1     67157   +
NC_045757.1     67188   +
NC_045757.1     67332   +
NC_045757.1     67373   +
NC_045757.1     67397   +
NC_045757.1     67457   +
NC_045757.1     67479   +
NC_045757.1     67488   +
NC_045757.1     91056   +
NC_045757.1     91102   +
